t,phase,x,y,z
18.343119,P1_INIT_POS,-0.029339000,-0.541362000,0.398061000
18.353221,P1_INIT_POS,-0.028991000,-0.541391000,0.397780000
18.363090,P1_INIT_POS,-0.028718000,-0.541423000,0.397579000
18.373164,P1_INIT_POS,-0.028447000,-0.541492000,0.397484000
18.383051,P1_INIT_POS,-0.028193000,-0.541542000,0.397358000
18.393101,P1_INIT_POS,-0.027708000,-0.541580000,0.396951000
18.403022,P1_INIT_POS,-0.027268000,-0.541606000,0.396521000
18.413078,P1_INIT_POS,-0.026785000,-0.541651000,0.396130000
18.423033,P1_INIT_POS,-0.026205000,-0.541711000,0.395667000
18.433054,P1_INIT_POS,-0.025604000,-0.541791000,0.395222000
18.443035,P1_INIT_POS,-0.024995000,-0.541867000,0.394773000
18.453039,P1_INIT_POS,-0.024363000,-0.541937000,0.394304000
18.463068,P1_INIT_POS,-0.023795000,-0.541983000,0.393868000
18.473024,P1_INIT_POS,-0.023098000,-0.542031000,0.393319000
18.483032,P1_INIT_POS,-0.022501000,-0.542061000,0.392830000
18.493053,P1_INIT_POS,-0.021938000,-0.542087000,0.392367000
18.503070,P1_INIT_POS,-0.021403000,-0.542108000,0.391892000
18.513043,P1_INIT_POS,-0.020919000,-0.542129000,0.391449000
18.523029,P1_INIT_POS,-0.020444000,-0.542150000,0.391000000
18.533029,P1_INIT_POS,-0.019960000,-0.542168000,0.390528000
18.543033,P1_INIT_POS,-0.019461000,-0.542191000,0.390068000
18.553217,P1_INIT_POS,-0.018909000,-0.542215000,0.389562000
18.563217,P1_INIT_POS,-0.018393000,-0.542242000,0.389105000
18.573158,P1_INIT_POS,-0.017878000,-0.542264000,0.388633000
18.583163,P1_INIT_POS,-0.017395000,-0.542286000,0.388176000
18.593172,P1_INIT_POS,-0.016917000,-0.542303000,0.387720000
18.603172,P1_INIT_POS,-0.016434000,-0.542324000,0.387258000
18.613194,P1_INIT_POS,-0.015991000,-0.542338000,0.386833000
18.623182,P1_INIT_POS,-0.015450000,-0.542352000,0.386324000
18.633200,P1_INIT_POS,-0.014932000,-0.542370000,0.385846000
18.643167,P1_INIT_POS,-0.014437000,-0.542381000,0.385371000
18.653159,P1_INIT_POS,-0.013932000,-0.542391000,0.384875000
18.663166,P1_INIT_POS,-0.013418000,-0.542399000,0.384383000
18.673156,P1_INIT_POS,-0.012875000,-0.542411000,0.383869000
18.683159,P1_INIT_POS,-0.012337000,-0.542427000,0.383382000
18.693152,P1_INIT_POS,-0.011841000,-0.542446000,0.382934000
18.703159,P1_INIT_POS,-0.011303000,-0.542465000,0.382453000
18.713137,P1_INIT_POS,-0.010775000,-0.542477000,0.381985000
18.723158,P1_INIT_POS,-0.010177000,-0.542486000,0.381456000
18.733157,P1_INIT_POS,-0.009673000,-0.542485000,0.381007000
18.743165,P1_INIT_POS,-0.009083000,-0.542497000,0.380502000
18.753151,P1_INIT_POS,-0.008560000,-0.542509000,0.380048000
18.763158,P1_INIT_POS,-0.008052000,-0.542515000,0.379570000
18.773134,P1_INIT_POS,-0.007586000,-0.542515000,0.379115000
18.783159,P1_INIT_POS,-0.007080000,-0.542516000,0.378634000
18.793138,P1_INIT_POS,-0.006568000,-0.542523000,0.378173000
18.803157,P1_INIT_POS,-0.005974000,-0.542531000,0.377643000
18.813127,P1_INIT_POS,-0.005541000,-0.542538000,0.377253000
18.823158,P1_INIT_POS,-0.004899000,-0.542535000,0.376676000
18.833131,P1_INIT_POS,-0.004429000,-0.542533000,0.376250000
18.843168,P1_INIT_POS,-0.003839000,-0.542520000,0.375701000
18.853135,P1_INIT_POS,-0.003379000,-0.542511000,0.375260000
18.863159,P1_INIT_POS,-0.002829000,-0.542504000,0.374733000
18.873129,P1_INIT_POS,-0.002404000,-0.542496000,0.374288000
18.883158,P1_INIT_POS,-0.001900000,-0.542491000,0.373769000
18.893212,P1_INIT_POS,-0.001443000,-0.542486000,0.373307000
18.903168,P1_INIT_POS,-0.000965000,-0.542486000,0.372848000
18.913127,P1_INIT_POS,-0.000523000,-0.542486000,0.372437000
18.923158,P1_INIT_POS,-0.000047000,-0.542487000,0.371997000
18.933125,P1_INIT_POS,0.000426000,-0.542481000,0.371552000
18.943158,P1_INIT_POS,0.000907000,-0.542477000,0.371093000
18.953125,P1_INIT_POS,0.001407000,-0.542478000,0.370629000
18.963158,P1_INIT_POS,0.001916000,-0.542490000,0.370175000
18.973124,P1_INIT_POS,0.002324000,-0.542493000,0.369781000
18.983158,P1_INIT_POS,0.002840000,-0.542489000,0.369256000
18.993121,P1_INIT_POS,0.003249000,-0.542479000,0.368830000
19.003158,P1_INIT_POS,0.003754000,-0.542472000,0.368336000
19.013119,P1_INIT_POS,0.004179000,-0.542475000,0.367946000
19.023158,P1_INIT_POS,0.004672000,-0.542478000,0.367501000
19.033117,P1_INIT_POS,0.005156000,-0.542474000,0.367062000
19.043157,P1_INIT_POS,0.005690000,-0.542457000,0.366556000
19.053122,P1_INIT_POS,0.006137000,-0.542445000,0.366128000
19.063138,P1_INIT_POS,0.006663000,-0.542423000,0.365630000
19.073119,P1_INIT_POS,0.007174000,-0.542407000,0.365161000
19.083156,P1_INIT_POS,0.007690000,-0.542382000,0.364665000
19.093159,P1_INIT_POS,0.008246000,-0.542360000,0.364128000
19.103166,P1_INIT_POS,0.008732000,-0.542334000,0.363643000
19.113132,P1_INIT_POS,0.009154000,-0.542314000,0.363231000
19.123158,P1_INIT_POS,0.009697000,-0.542285000,0.362708000
19.133125,P1_INIT_POS,0.010148000,-0.542267000,0.362277000
19.143160,P1_INIT_POS,0.010682000,-0.542248000,0.361785000
19.153152,P1_INIT_POS,0.011089000,-0.542231000,0.361396000
19.163162,P1_INIT_POS,0.011596000,-0.542207000,0.360896000
19.173166,P1_INIT_POS,0.012073000,-0.542190000,0.360437000
19.183158,P1_INIT_POS,0.012538000,-0.542170000,0.359977000
19.193099,P1_INIT_POS,0.012953000,-0.542163000,0.359592000
19.203161,P1_INIT_POS,0.013484000,-0.542144000,0.359067000
19.213131,P1_INIT_POS,0.013882000,-0.542132000,0.358678000
19.223158,P1_INIT_POS,0.014469000,-0.542111000,0.358100000
19.233123,P1_INIT_POS,0.014898000,-0.542106000,0.357707000
19.243157,P1_INIT_POS,0.015402000,-0.542098000,0.357225000
19.253140,P1_INIT_POS,0.015812000,-0.542087000,0.356820000
19.263168,P1_INIT_POS,0.016328000,-0.542072000,0.356319000
19.273107,P1_INIT_POS,0.016748000,-0.542064000,0.355916000
19.283158,P1_INIT_POS,0.017294000,-0.542049000,0.355390000
19.293230,P1_INIT_POS,0.017723000,-0.542039000,0.354978000
19.303099,P1_INIT_POS,0.018175000,-0.542032000,0.354530000
19.313151,P1_INIT_POS,0.018688000,-0.542024000,0.354033000
19.313230,P1_INIT_POS_SETTLE,0.018688000,-0.542024000,0.354033000
19.323511,P1_INIT_POS_SETTLE,0.019178000,-0.542008000,0.353540000
19.333815,P1_INIT_POS_SETTLE,0.019658000,-0.541998000,0.353070000
19.344118,P1_INIT_POS_SETTLE,0.020140000,-0.541980000,0.352601000
19.354423,P1_INIT_POS_SETTLE,0.020692000,-0.541970000,0.352104000
19.364734,P1_INIT_POS_SETTLE,0.021215000,-0.541951000,0.351619000
19.375030,P1_INIT_POS_SETTLE,0.021738000,-0.541936000,0.351151000
19.385395,P1_INIT_POS_SETTLE,0.022324000,-0.541923000,0.350653000
19.395756,P1_INIT_POS_SETTLE,0.022795000,-0.541911000,0.350250000
19.406089,P1_INIT_POS_SETTLE,0.023355000,-0.541883000,0.349723000
19.416460,P1_INIT_POS_SETTLE,0.023935000,-0.541858000,0.349190000
19.426774,P1_INIT_POS_SETTLE,0.024394000,-0.541846000,0.348776000
19.437098,P1_INIT_POS_SETTLE,0.024955000,-0.541820000,0.348236000
19.447479,P1_INIT_POS_SETTLE,0.025514000,-0.541806000,0.347711000
19.457775,P1_INIT_POS_SETTLE,0.026016000,-0.541788000,0.347220000
19.468094,P1_INIT_POS_SETTLE,0.026470000,-0.541770000,0.346768000
19.478480,P1_INIT_POS_SETTLE,0.027055000,-0.541748000,0.346185000
19.488821,P1_INIT_POS_SETTLE,0.027551000,-0.541732000,0.345701000
19.499177,P1_INIT_POS_SETTLE,0.028093000,-0.541720000,0.345179000
19.509533,P1_INIT_POS_SETTLE,0.028578000,-0.541703000,0.344696000
19.519868,P1_INIT_POS_SETTLE,0.029066000,-0.541691000,0.344221000
19.530227,P1_INIT_POS_SETTLE,0.029560000,-0.541680000,0.343754000
19.540559,P1_INIT_POS_SETTLE,0.030110000,-0.541667000,0.343234000
